date;senders;receivers
1938-04-11;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1938-04-21;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1938-05-10;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1938-05-28;Pauli, Wolfgang (1900-1958);Heisenberg, Werner (1901-1976)
1938-08-15;Pauli, Wolfgang (1900-1958);Heisenberg, Werner (1901-1976)
1938-09-19;Pauli, Wolfgang (1900-1958);Heisenberg, Werner (1901-1976)
1939-04-27;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1939-05-11;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1939-06-10;Pauli, Wolfgang (1900-1958);Heisenberg, Werner (1901-1976)
1939-08-07;"Pauli, Wolfgang (1900-1958); Eidgenössische Technische Hochschule Zürich. Departement Physik";Heisenberg, Werner (1901-1976)
1933;Unbekannt;Heisenberg, Werner (1901-1976)
1195-11-11;Heisenberg, Werner (1901-1976);Böse, Georg (1902-1974)
1933-04-26;Planck, Max (1858-1947);Heisenberg, Werner (1901-1976)
1936-11-19;Planck, Max (1858-1947);Heisenberg, Werner (1901-1976)
1933-06-18;Planck, Max (1858-1947);Heisenberg, Werner (1901-1976)
1938-01-14;Planck, Max (1858-1947);Heisenberg, Werner (1901-1976)
1937-04-05;Planck, Max (1858-1947);Heisenberg, Werner (1901-1976)
1937-08-25;Planck, Max (1858-1947);Heisenberg, Werner (1901-1976)
1933-11-15;Planck, Max (1858-1947);Heisenberg, Werner (1901-1976)
1934-07-23;"Planck, Max (1858-1947); Preußische Akademie der Wissenschaften (1918-1946)";Heisenberg, Werner (1901-1976)
1933-11-08;Planck, Max (1858-1947);Heisenberg, Werner (1901-1976)
1938-05-03;Planck, Max (1858-1947);Heisenberg, Werner (1901-1976)
1937-03-06;Planck, Max (1858-1947);Heisenberg, Werner (1901-1976)
