date;senders;receivers
1967-12-15;Verlagshaus Die Welt (Hamburg u.a.);"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik und Astrophysik (1958-1991)"
1959-10-07;Heisenberg, Werner (1901-1976);"Stucki, Lorenz; Weltwoche (Zürich) / Redaktion"
1959-09-28;"Stucki, Lorenz; Weltwoche (Zürich) / Redaktion";Heisenberg, Werner (1901-1976)
1953-05-29;Heisenberg, Werner (1901-1976);"Gerster, Georg (1928-2019); Weltwoche (Zürich) / Redaktion"
1953-04-26;"Gerster, Georg (1928-2019); Weltwoche (Zürich) / Redaktion";Heisenberg, Werner (1901-1976)
1950-09-16;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";"Abegg, Lily (1901-1974); Weltwoche (Zürich) / Redaktion"
1950-09-09;Heisenberg, Werner (1901-1976);"Abegg, Lily (1901-1974); Weltwoche (Zürich) / Redaktion"
1950-06-10;"Abegg, Lily (1901-1974); Weltwoche (Zürich) / Redaktion";Heisenberg, Werner (1901-1976)
1954-11-19;Heisenberg, Werner (1901-1976);"Schneider, Rudolf; Welt der Schule. Schriftleitung"
1958-05-12;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Welzel, Käthe
1958-04-30;Welzel, Käthe;Heisenberg, Werner (1901-1976)
1961-03-26;Unbekannt;Heisenberg, Werner (1901-1976)
1954-03-30;"Wendel, Clarence A.; Deutschland (Bundesrepublik). Amerikanischer Hochkommissar";Heisenberg, Werner (1901-1976)
1954-03-16;"Wendel, Clarence A.; Deutschland (Bundesrepublik). Amerikanischer Hochkommissar";Heisenberg, Werner (1901-1976)
1954-01-22;"Wendel, Clarence A.; Deutschland (Bundesrepublik). Amerikanischer Hochkommissar";Heisenberg, Werner (1901-1976)
1973-10-18;Wendel, Karl;Heisenberg, Werner (1901-1976)
1972-06-28;Wendlandt, Kurt (1917-1998);Heisenberg, Werner (1901-1976)
1958-04-30;Heisenberg, Werner (1901-1976);Wendt, Siegfried (1901-1966)
1958-04-23;Wendt, Siegfried (1901-1966);Heisenberg, Werner (1901-1976)
1973-01-24;Heisenberg, Werner (1901-1976);Wentzel, Luise-Charlotte
1973-01-16;Wentzel, Luise-Charlotte;Heisenberg, Werner (1901-1976)
1974-10-16;Heisenberg, Werner (1901-1976);Wenz, Magda von
1974-10-09;Wenz, Magda von;Heisenberg, Werner (1901-1976)
1967-12-10;Wenzel, Karl-Heinz;"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik und Astrophysik (1958-1991)"
1967-12-01;Heisenberg, Werner (1901-1976);Wenzel, Karl-Heinz
1967-08-29;Wenzel, Karl-Heinz;"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik und Astrophysik (1958-1991)"
1972-06-14;Heisenberg, Werner (1901-1976);Wenzel, Wilhelm
1972-05-09;Wenzel, Wilhelm;Heisenberg, Werner (1901-1976)
1966-09-06;Neuhäusler, Anton (1919-1997);Heisenberg, Werner (1901-1976)
1963-07-05;Werhahn, Hermann Josef (1923-2016);Heisenberg, Werner (1901-1976)
1963-07-02;Heisenberg, Werner (1901-1976);Werhahn, Hermann Josef (1923-2016)
1963-06-25;Werhahn, Hermann Josef (1923-2016);Heisenberg, Werner (1901-1976)
1963-02-14;"Kloppenburg, Heinz (1903-1986); Meinhof, Ulrike Marie (1934-1976); Mochalski, Herbert (1910-1992); Hirschauer, Gerd (1928-2007); Redaktion Werkhefte (München)";Heisenberg, Werner (1901-1976)
1968-11-07;Heisenberg, Werner (1901-1976);"Werle, Eugen; Chirurgische Klinik (München, Universität, Medizinische Fakultät) (-1974)"
1968-11-09;"Coenen, Ernst (1906-1996); Fritz-Thyssen-Stiftung (1959-)";Heisenberg, Werner (1901-1976)
1968-11-07;Heisenberg, Werner (1901-1976);"Coenen, Ernst (1906-1996); Fritz-Thyssen-Stiftung (1959-)"
1968-11-05;Frey, Emil (1888-1977);Heisenberg, Werner (1901-1976)
1970-01-25;Werner, Fritz;Heisenberg, Werner (1901-1976)
1958-06-26;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Werner, Georg
1958-05-27;Werner, Georg;Wenke, Hans (1903-1971)
1964-11-30;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Werner, Klaus
1964-11-12;Werner, Klaus;Heisenberg, Werner (1901-1976)
1971-03-04;Heisenberg, Werner (1901-1976);"Werner, R.; Universität (Heidelberg) . Institut für neuzeitliche Betriebsführung"
1971-02-25;"Werner, R.; Universität (Heidelberg) . Institut für neuzeitliche Betriebsführung";Heisenberg, Werner (1901-1976)
1964-02-28;"Schreckeneder, E.; Werner Reimers Stiftung (1976-2001)";"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik und Astrophysik (1958-1991)"
1957-06-26;Werra, Edmund;Heisenberg, Werner (1901-1976)
1950-01-06;Werthmüller, Hans (1912-);Heisenberg, Werner (1901-1976)
1954-06-10;Weser, Hans (1896-);Heisenberg, Werner (1901-1976)
1954-05-27;Weser, Hans (1896-);Heisenberg, Werner (1901-1976)
1964-01-29;Wesp, Adam;Heisenberg, Werner (1901-1976)
1952-04-21;"Wessel, Günter; National Research Council of Canada. Division of Physics";"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik (1946-1958)"
1952-03-20;Heisenberg, Werner (1901-1976);"Wessel, Günter; National Research Council of Canada. Division of Physics"
1952-03-14;"Wessel, Günter; National Research Council of Canada. Division of Physics";"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik (1946-1958)"
1973-07-01;Wessel, Walter;Heisenberg, Werner (1901-1976)
1971-04-19;Heisenberg, Werner (1901-1976);Wessel, Walter
1971-04-12;Wessel, Walter;Heisenberg, Werner (1901-1976)
1950-09-21;"Wessel, Walter; USAF Institut of Technology";Unbekannt
1963-06-15;Vesselov, Pavel;Heisenberg, Werner (1901-1976)
1963-08-14;Max-Planck-Institut für Physik und Astrophysik (1958-1991);Heisenberg, Werner (1901-1976)
1954-06-19;Heisenberg, Werner (1901-1976);Georg Westermann Verlag
1954-06-10;Georg Westermann Verlag;Heisenberg, Werner (1901-1976)
1954-04-24;"Boekhoff, Hermann; Georg Westermann Verlag";Heisenberg, Werner (1901-1976)
1954-04-15;Heisenberg, Werner (1901-1976);"Boekhoff, Hermann; Georg Westermann Verlag"
1954-04-06;"Boekhoff, Hermann; Georg Westermann Verlag";Heisenberg, Werner (1901-1976)
1954-02-10;Heisenberg, Werner (1901-1976);"Boekhoff, Hermann; Georg Westermann Verlag"
1954-02-05;"Boekhoff, Hermann; Georg Westermann Verlag";Heisenberg, Werner (1901-1976)
1950-11-30;Heisenberg, Werner (1901-1976);Westgren, Arne (1889-1975)
1974-02-04;Westphal, Heinrich;Heisenberg, Werner (1901-1976)
1974-02-08;Heisenberg, Werner (1901-1976);Westphal, Heinrich
1968-05-08;Wette, Eduard W. (1925-);Heisenberg, Werner (1901-1976)
1958-03-19;Dürr, Hans-Peter (1929-2014);Wette, Eduard W. (1925-)
1958-03-08;Wette, Eduard W. (1925-);Heisenberg, Werner (1901-1976)
1958-03-03;Wette, Eduard W. (1925-);Heisenberg, Werner (1901-1976)
1958-04-30;Heisenberg, Werner (1901-1976);Wewior, Paul
1958-04-22;Wewior, Paul;Heisenberg, Werner (1901-1976)
1950-06-24;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Weyl, Fritz Joachim (1915-1977)
1959-03-12;"Whaley, W. Gordon (1914-1982); University of Texas (1883-1967)";Heisenberg, Werner (1901-1976)
o.D.;White, Merit P.;Heisenberg, Werner (1901-1976)
1973-12-07;Who's who - Book & Publishing (Verlag für Biographien);Heisenberg, Werner (1901-1976)
1973-05-02;Who's who - Book & Publishing (Verlag für Biographien);Heisenberg, Werner (1901-1976)
1973-01-31;Heisenberg, Werner (1901-1976);Who's who - Book & Publishing (Verlag für Biographien)
1961-07-10;"Martindell, Jackson; Marquis Who's Who, Inc. (Chicago, Ill.)";Heisenberg, Werner (1901-1976)
1957;"Sammons, Wheeler; Marquis Who's Who, Inc. (Chicago, Ill.)";Heisenberg, Werner (1901-1976)
1961-07-10;"Who's Who (London); A & C Black (1807-)";Heisenberg, Werner (1901-1976) [vermutlich]
1962-07-23;Whyte, Lancelot Law (1896-1972);Heisenberg, Werner (1901-1976) [vermutlich]
1962-07-19;Heisenberg, Werner (1901-1976);Whyte, Lancelot Law (1896-1972)
1962-07-06;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Whyte, Lancelot Law (1896-1972)
1962-06-25;Whyte, Lancelot Law (1896-1972);Heisenberg, Werner (1901-1976) [vermutlich]
1953-03-07;Heisenberg, Werner (1901-1976);Whyte, Lancelot Law (1896-1972)
1953-02-04;Whyte, Lancelot Law (1896-1972);Heisenberg, Werner (1901-1976) [vermutlich]
1953-01-29;Heisenberg, Werner (1901-1976);Whyte, Lancelot Law (1896-1972)
1953-01-25;Whyte, Lancelot Law (1896-1972);Heisenberg, Werner (1901-1976) [vermutlich]
1950-08-28;Whyte, Lancelot Law (1896-1972);Heisenberg, Werner (1901-1976) [vermutlich]
1950-06-23;Heisenberg, Werner (1901-1976);Whyte, Lancelot Law (1896-1972)
1950-06-09;Whyte, Lancelot Law (1896-1972);Heisenberg, Werner (1901-1976) [vermutlich]
1973;Wiberg, Nils (1934-2007);Heisenberg, Werner (1901-1976)
1973-05-07;Wiberg, Nils (1934-2007);Heisenberg, Werner (1901-1976)
1964-07-14;Heisenberg, Werner (1901-1976);"Wiberg, Egon (1901-1976); Institut für Anorganische Chemie (München)"
1964-07-10;"Wiberg, Egon (1901-1976); Institut für Anorganische Chemie (München)";Heisenberg, Werner (1901-1976)
1956-12-06;Heisenberg, Werner (1901-1976);"Wiberg, Egon (1901-1976); Institut für Anorganische Chemie (München)"
1956-12-03;"Wiberg, Egon (1901-1976); Institut für Anorganische Chemie (München)";Heisenberg, Werner (1901-1976)
1958-05-16;Allason, Barbara (1877-1968);Heisenberg, Werner (1901-1976)
1958-05-05;Heisenberg, Werner (1901-1976);Allason, Barbara (1877-1968)
1960-04-21;Heisenberg, Werner (1901-1976);"Widmer, G.; Eidgenössische Technische Hochschule Zürich. Institut für Höhere Elektrotechnik"
1960-04-12;"Widmer, G.; Eidgenössische Technische Hochschule Zürich. Institut für Höhere Elektrotechnik";Heisenberg, Werner (1901-1976)
1974-06-24;Heisenberg, Werner (1901-1976);Wieacker, Franz (1908-1994)
1974-04-01;Wieduwilt, Georg;Heisenberg, Werner (1901-1976)
1974-03-19;Heisenberg, Werner (1901-1976);Wieduwilt, Georg
1974-03-25;Wieduwilt, Georg;Heisenberg, Werner (1901-1976)
1966-04-29;Wiehe, Hans Jürgen;"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik und Astrophysik (1958-1991)"
1966-04-18;Heisenberg, Werner (1901-1976);Wiehe, Hans Jürgen
1966-04-15;Wiehe, Hans Jürgen;Heisenberg, Werner (1901-1976)
1966-02-07;Heisenberg, Werner (1901-1976);Wiehe, Hans Jürgen
1966-02-02;Wiehe, Hans Jürgen;Heisenberg, Werner (1901-1976)
1958-03-09;Wieland, Albert (1920-2010);Heisenberg, Werner (1901-1976)
1972-10-03;Wieland, Otto (1920-);Heisenberg, Werner (1901-1976)
1964;Wiener Institut für Entwicklungsfragen;Heisenberg, Werner (1901-1976)
1966-08-03;Heisenberg, Werner (1901-1976);"Witeschnik, Alexander (1909-1993); Wiener Kulturkreis"
1966-07-19;"Witeschnik, Alexander (1909-1993); Wiener Kulturkreis";Heisenberg, Werner (1901-1976)
1948-10-06;Wieser, Kurt;Heisenberg, Werner (1901-1976)
1948-09-10;Wieser, Kurt;Heisenberg, Werner (1901-1976)
1947-05-30;"Heisenberg, Werner (1901-1976); Huber, Wiltrud; Max-Planck-Institut für Physik. Direktion. Sekretariat";Wieser, Kurt
1947-05-15;Wieser, Kurt;Heisenberg, Werner (1901-1976)
1973-08-08;"Huber, Wiltrud; Max-Planck-Institut für Physik. Direktion. Sekretariat";Wiest, Peter
1973-08-02;Wiest, Peter;Heisenberg, Werner (1901-1976)
1957-12-07;"Wightman, A. S. (1922-2013); Laboratoire de Physique (Paris)";Heisenberg, Werner (1901-1976)
1955-01-28;Heisenberg, Werner (1901-1976);Wighton, Charles
1957-12-07;Wighton, Charles;Heisenberg, Werner (1901-1976)
1974-11-08;Heisenberg, Werner (1901-1976);Wild, Manfred
1957-12-07;Wild, Manfred;Heisenberg, Werner (1901-1976)
1966-12-19;Heisenberg, Werner (1901-1976);Wildhagen, Eduard (1890-1970)
1966-11-22;Wildhagen, Eduard (1890-1970);Heisenberg, Werner (1901-1976)
1973-01-30;Wilhelm, Johann;Heisenberg, Werner (1901-1976)
1963-06-18;Heisenberg, Werner (1901-1976);Wilhelm, Wolfgang
1963-06-11;Wilhelm, Wolfgang;Heisenberg, Werner (1901-1976)
1963-01-10;Heisenberg, Werner (1901-1976);Wilhelm, Wolfgang
1963-01-03;Wilhelm, Wolfgang;Heisenberg, Werner (1901-1976)
1961-10-08;Wilhelm, Wolfgang;Heisenberg, Werner (1901-1976)
1954-02-02;Wilkens, Alexander (1881-1968);Heisenberg, Werner (1901-1976)
1954-01-25;Heisenberg, Werner (1901-1976);Wilkens, Alexander (1881-1968)
1954-01-06;Wilkens, Alexander (1881-1968);Heisenberg, Werner (1901-1976)
1961-03-21;Heisenberg, Werner (1901-1976);Wille, Ewald
1958-05-02;Heisenberg, Werner (1901-1976);Willers, Gernot
1958-04-30;Willers, Gernot;Heisenberg, Werner (1901-1976)
1961-05-29;Willers, Uno Erik Wilhelm (1911-1980);Heisenberg, Werner (1901-1976)
1960-10-25;Heisenberg, Werner (1901-1976);"Willers, Uno Erik Wilhelm (1911-1980); Kungliga Biblioteket Stockholm"
1960-10-21;"Willers, Uno Erik Wilhelm (1911-1980); Kungliga Biblioteket Stockholm";Heisenberg, Werner (1901-1976)
1960-09-16;Heisenberg, Werner (1901-1976);"Willers, Uno Erik Wilhelm (1911-1980); Kungliga Biblioteket Stockholm"
1960-08-15;"Willers, Uno Erik Wilhelm (1911-1980); Kungliga Biblioteket Stockholm";Heisenberg, Werner (1901-1976)
1960-06-15;Heisenberg, Werner (1901-1976);"Willers, Uno Erik Wilhelm (1911-1980); Kungliga Biblioteket Stockholm"
1972-01-17;Willi, Ernst (1900-1980);Heisenberg, Werner (1901-1976)
1970-10-20;Heisenberg, Werner (1901-1976);Willi, Ernst (1900-1980)
1952-02-29;"Wilms, Edmund [vermutlich]; Kantonsspital Zürich (-1977)";Heisenberg, Werner (1901-1976)
1952-02-26;Heisenberg, Werner (1901-1976);Wilms, Edmund
1952-11-10;"Wilms, Edmund [vermutlich]; Kantonsspital Zürich (-1977)";Heisenberg, Werner (1901-1976)
1950-04-03;"Wilson, J. G. (1911-1994); Victoria University of Manchester (Manchester). Physical Laboratories";Heisenberg, Werner (1901-1976)
1950-03-30;Kraeger, R.;"Wilson, J. G. (1911-1994); Victoria University of Manchester (Manchester). Physical Laboratories"
1971-01-16;Wiltschko, Erwin;Heisenberg, Werner (1901-1976)
1971-01-13;Heisenberg, Werner (1901-1976);Wiltschko, Erwin
1970-12-31;Wiltschko, Erwin;Heisenberg, Werner (1901-1976)
1970-01-13;Heisenberg, Werner (1901-1976);Wiltschko, Erwin
1970-01-04;Wiltschko, Erwin;Heisenberg, Werner (1901-1976)
1969-05-06;Heisenberg, Werner (1901-1976);Wiltschko, Erwin
1969-04-29;Wiltschko, Erwin;Heisenberg, Werner (1901-1976)
1964-07-27;Heisenberg, Werner (1901-1976);Wimmer, Toni
1964-07-16;Wimmer, Toni;Heisenberg, Werner (1901-1976)
1954-06-24;Heisenberg, Werner (1901-1976);"Wimmer, Anton; Walzwerke (Hohenlimburg)"
1954-06-18;"Wimmer, Anton; Walzwerke (Hohenlimburg)";Heisenberg, Werner (1901-1976)
1973-06-21;Wimmer, Elisabeth;Heisenberg, Werner (1901-1976)
1973-07-06;"Huber, Wiltrud; Max-Planck-Institut für Physik. Direktion. Sekretariat";Wimmer, Elisabeth
1972-01-25;Heisenberg, Werner (1901-1976);Wimmer, Hans
1972-06-20;Wimmer, Hans;Heisenberg, Werner (1901-1976)
1967-08-23;Wimmer, Hans;Heisenberg, Werner (1901-1976)
1960-01-12;Heisenberg, Werner (1901-1976);Wimmer, Hans
1959-12-24;Wimmer, Hans;Heisenberg, Werner (1901-1976)
1958-05-21;Heisenberg, Werner (1901-1976);Wimmer, Thomas (1887-1964)
1958;"Wimmer, Thomas (1887-1964); Hieber, Adolf (1898-)";Heisenberg, Werner (1901-1976)
1974-01-03;Heisenberg, Werner (1901-1976);Winckelmann, Johannes (1900-1985)
1971;Windauer, Franz;Heisenberg, Werner (1901-1976) [vermutlich]
1956-01-10;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Göttinger Wingolf (1867-)
1955;Göttinger Wingolf (1867-);Heisenberg, Werner (1901-1976)
1955-01-17;Heisenberg, Werner (1901-1976);Göttinger Wingolf (1867-)
o.D. [27.08.];Heisenberg, Werner (1901-1976);Winckelmann, Johannes (1900-1985)
1973-08-06;"Winckelmann, Johannes (1900-1985); Max-Weber-Institut (München)";Heisenberg, Werner (1901-1976)
1968-10-08;Stoltenberg, Gerhard (1928-2001);"Heisenberg, Werner (1901-1976) [vermutlich]; Deutsche Atom-Kommission (1956-1971)"
1967;Winkhaus, Hermann (1897-1968);Heisenberg, Werner (1901-1976)
1973-11-29;"Winklehaus, A. F.; Mastercraft Instrument Company";Heisenberg, Werner (1901-1976)
1973-10-05;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Winklehaus, A. F.
1958-11-04;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";J. J. Marx (Lambrecht)
1958-11-03;J. J. Marx (Lambrecht);Max-Planck-Institut für Physik. Direktion. Sekretariat
1976-01-29;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Winter, Friedrich G. (1910-1987)
1975-12-31;Winter, Friedrich G. (1910-1987);Heisenberg, Werner (1901-1976)
1975-03-24;Heisenberg, Werner (1901-1976);Winter, Friedrich G. (1910-1987)
1975-03-19;Winter, Friedrich G. (1910-1987);Heisenberg, Werner (1901-1976)
1958-07-01;Hüper, Rolf;Winter, Hermann (1897-1968)
1958-05-27;Winter, Hermann (1897-1968);Heisenberg, Werner (1901-1976)
1962-12-28;Winter, Julius;Heisenberg, Werner (1901-1976)
1969-12-12;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Winter, Oskar
1969-12-06;Winter, Oskar;Heisenberg, Werner (1901-1976)
1963-07-26;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Winter, Siegfried
1963-05-14;Winter, Siegfried;Heisenberg, Werner (1901-1976)
1970-04-09;Heisenberg, Werner (1901-1976);Winterhoff, Edmund
1970-04-09;Winterhoff, Edmund;Heisenberg, Werner (1901-1976)
1967-05-25;Winterhoff, Edmund;Heisenberg, Werner (1901-1976)
1967-05-25;"Winzeler, Helmut; Universität Bern. Physikalisches Institut";Heisenberg, Werner (1901-1976)
1972-08-30;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Wippern, Jürgen
1961-01-10;Heisenberg, Werner (1901-1976);Wirk, Adolf
1960-12-16;Wirk, Adolf;Heisenberg, Werner (1901-1976)
1960-12-01;Heisenberg, Werner (1901-1976);Wirk, Adolf
1960-11-28;Wirk, Adolf;Heisenberg, Werner (1901-1976)
1960-07-08;Heisenberg, Werner (1901-1976);Wirk, Adolf
1960-07-06;Wirk, Adolf;Heisenberg, Werner (1901-1976)
1963-09-03;Heisenberg, Werner (1901-1976);Windish, Eva Alice
1970-06-26;Winterhoff, Edmund;Heisenberg, Werner (1901-1976)
1973-09-17;"Winklehaus, A. F.; Mastercraft Instrument Company";"Heisenberg, Werner (1901-1976); Max-Planck-Institut für Physik. Direktion. Sekretariat"
1955-08-25;Heisenberg, Werner (1901-1976);Wirkus, Paul
1955-07-15;Wirkus, Paul;Heisenberg, Werner (1901-1976)
1965-07-15;"Trapper, Irmgard; null";Heisenberg, Werner (1901-1976)
1965-09-07;"Wirsing, Giselher (1907-1975); null";Heisenberg, Werner (1901-1976)
1959-11-13;Heisenberg, Werner (1901-1976);Wirth, Josef
1959-12-27;Wirth, Josef;Heisenberg, Werner (1901-1976)
1957-06-25;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Wirtschaftsbeirat der Union
1957-02-19;"Huber, Herbert (1935-2016); Wirtschaftsbeirat der Union";Heisenberg, Werner (1901-1976) [vermutlich]
1957-12-08;"Huber, Herbert (1935-2016); Wirtschaftsbeirat der Union";Heisenberg, Werner (1901-1976) [vermutlich]
1956-06-11;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Wirtschaftsbeirat der Union
1956-05-18;Heisenberg, Werner (1901-1976);"Elsen, Franz (1906-1980); Wirtschaftsbeirat der Union"
1956-04-18;"Elsen, Franz (1906-1980); Wirtschaftsbeirat der Union";Heisenberg, Werner (1901-1976)
1967-12-14;Heisenberg, Werner (1901-1976);Wirtschaftspolitischer Club Bonn
1967-12-04;Wirtschaftspolitischer Club Bonn;Heisenberg, Werner (1901-1976)
1958-11-05;Wirtschaftsring (Bonn);Heisenberg, Werner (1901-1976)
1958-10-31;Heisenberg, Werner (1901-1976);Wirtschaftsring (Bonn)
1958-09-05;Wirtschaftsring (Bonn);Heisenberg, Werner (1901-1976)
1967-11-30;"Schwarz, Will (-1992); Wirtschaftsverband Bildender Künstler Nordrhein-Westfalen (1953-1977)";Heisenberg, Werner (1901-1976)
1959-04-02;Heisenberg, Werner (1901-1976);"Wisdom, J. O. (1908-1993); London School of Economics and Political Science (1895-)"
1959-03-25;"Wisdom, J. O. (1908-1993); London School of Economics and Political Science (1895-)";Heisenberg, Werner (1901-1976)
1958-05-09;"Aurich, Ernst; Wissenschaftliche Buchgesellschaft (1955-2024)";Heisenberg, Werner (1901-1976)
1958-04-21;Heisenberg, Werner (1901-1976);"Aurich, Ernst; Wissenschaftliche Buchgesellschaft (1955-2024)"
1958-04-10;"Aurich, Ernst; Wissenschaftliche Buchgesellschaft (1955-2024)";Heisenberg, Werner (1901-1976)
1962-06-28;Verlag Junge Welt (1951-);Heisenberg, Werner (1901-1976)
1959-12-17;Heisenberg, Werner (1901-1976);"Samsonowska, Hanna; Agencja Robotnicza (Warszawa)"
1959-12-02;"Samsonowska, Hanna; Agencja Robotnicza (Warszawa)";Heisenberg, Werner (1901-1976)
1967;"Chwastek, Winfried-Cleophas; Stadtbibliothek (Wuppertal)";Heisenberg, Werner (1901-1976)
1971-08-17;Heisenberg, Werner (1901-1976);Wissenschaftliche Verlagsgesellschaft Stuttgart (1921-)
1971;"Rotta, Hans (1921-2008); Schlemmer, Oskar [vermutlich]; Wissenschaftliche Verlagsgesellschaft Stuttgart (1921-); Deutscher Apotheker-Verlag Doktor Roland Schmiedel (1950-); S. Hirzel Verlag (Stuttgart)";Heisenberg, Werner (1901-1976)
1971-07-27;Heisenberg, Werner (1901-1976);Wissenschaftliche Verlagsgesellschaft Stuttgart (1921-)
1958;Bethmann, Horst (1922-);Heisenberg, Werner (1901-1976) [vermutlich]
1973-12-16;"Wisser, Richard (1927-2019); Johannes Gutenberg-Universität Mainz. Philosophisches Seminar";Heisenberg, Werner (1901-1976)
1973-11-19;Heisenberg, Werner (1901-1976);Wisser, Richard (1927-2019)
1973-11-11;"Wisser, Richard (1927-2019); Johannes Gutenberg-Universität Mainz. Philosophisches Seminar";Heisenberg, Werner (1901-1976)
1969-12-16;Heisenberg, Werner (1901-1976);Wisser, Richard (1927-2019)
1966-03-23;"Wisser, Richard (1927-2019); Johannes Gutenberg-Universität Mainz. Philosophisches Seminar";Heisenberg, Werner (1901-1976)
1966-03-09;"Wisser, Richard (1927-2019); Johannes Gutenberg-Universität Mainz. Philosophisches Seminar";Heisenberg, Werner (1901-1976)
1973-05-22;"Witmer, Enos; Pennsylvania State University (University Park, Pa.). College of Chemistry and Physics";Heisenberg, Werner (1901-1976)
1973-02-26;Heisenberg, Werner (1901-1976);Witmer, Enos
1973-02-11;Witmer, Enos;Heisenberg, Werner (1901-1976)
1968-06-05;"Witmer, Enos; Pennsylvania State University (University Park, Pa.). College of Chemistry and Physics";Heisenberg, Werner (1901-1976)
1970-09-23;Heisenberg, Werner (1901-1976);"Witt, Manfred; Max-Planck-Institut für Metallforschung"
1970-09-21;"Witt, Manfred; Max-Planck-Institut für Metallforschung";Heisenberg, Werner (1901-1976)
1955-05-02;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";"Wegener, Hans (1896-1980); Wittheit zu Bremen (Körperschaft) (1941-)"
1955-04-27;"Wegener, Hans (1896-1980); Wittheit zu Bremen (Körperschaft) (1941-)";Heisenberg, Werner (1901-1976)
1971-04-09;Wittmann, Adam (1901-);Heisenberg, Werner (1901-1976)
1967-01-13;Heisenberg, Werner (1901-1976);Wittmann, Adam (1901-)
1967-01-18;Wittmann, Adam (1901-);Heisenberg, Werner (1901-1976)
1967-01-09;Heisenberg, Werner (1901-1976);Wittmann, Adam (1901-)
1972-07-04;"Riedl, Karl (1907-1985); Maximilianeum (München)";Heisenberg, Werner (1901-1976)
1967-11-04;Witzleben, Henry von (1896-1994);Heisenberg, Werner (1901-1976)
1967-10-16;Heisenberg, Werner (1901-1976);Witzleben, Henry von (1896-1994)
1967-09-02;Witzleben, Henry von (1896-1994);Heisenberg, Werner (1901-1976)
1963-04-26;Heisenberg, Werner (1901-1976);Wlodarski, J.
1963-04-23;Wlodarski, J.;Heisenberg, Werner (1901-1976)
1955-06-30;Heisenberg, Werner (1901-1976);Wobeser, Gisella von
1955-06-27;Wobeser, Gisella von;Heisenberg, Werner (1901-1976)
1964-10-08;Heisenberg, Werner (1901-1976);"Heimlich, Dieter; Wochenpost / Redaktion (Berlin, Ost)"
1964;"Heimlich, Dieter; Wochenpost / Redaktion (Berlin, Ost)";Heisenberg, Werner (1901-1976)
1964;"Wöhler, Karlheinz (1930-); Naval Postgraduate School (Monterey, Calif.)";"Gierke, Gerhart von (1922-2003); Max-Planck-Institut für Physik und Astrophysik (1958-1991)"
1966-08-03;Wöhr, Fritz;Heisenberg, Werner (1901-1976)
1966-03-15;Heisenberg, Werner (1901-1976);Wisser, Richard (1927-2019)
1967-01-03;Wittmann, Adam (1901-);Heisenberg, Werner (1901-1976)
1949-01-24;Heisenberg, Werner (1901-1976);Wölfflin, Ernst (1873-1960)
1949-01-28;Wölfflin, Ernst (1873-1960);Heisenberg, Werner (1901-1976)
1949-01-01;Wölfflin, Ernst (1873-1960);Heisenberg, Werner (1901-1976)
1948-12-17;Heisenberg, Werner (1901-1976);Wölfflin, Ernst (1873-1960)
1948-12-05;Wölfflin, Ernst (1873-1960);Heisenberg, Werner (1901-1976)
1948-11-29;Heisenberg, Werner (1901-1976);Wölfflin, Ernst (1873-1960)
1948-11-15;Wölfflin, Ernst (1873-1960);Heisenberg, Werner (1901-1976)
1963-01-08;Wojahn, G.;Heisenberg, Werner (1901-1976)
1971-10-05;Heisenberg, Werner (1901-1976);Wold, Max
1971-09-20;Wold, Max;Heisenberg, Werner (1901-1976)
1971;Wold, Max;Heisenberg, Werner (1901-1976)
1971-08-19;Heisenberg, Werner (1901-1976);Wold, Max
1971;Wold, Max;Heisenberg, Werner (1901-1976)
1958-09-17;Wolf, Ernst (1902-1971);Heisenberg, Werner (1901-1976)
1958-09-10;Heisenberg, Werner (1901-1976);Wolf, Ernst (1902-1971)
