date;senders;receivers
1969-11-17;Heisenberg, Werner (1901-1976);Waeger, Wolfgang [vermutlich]
1969-11-10;Waeger, Wolfgang [vermutlich];Heisenberg, Werner (1901-1976)
1973-06-05;Heisenberg, Werner (1901-1976);Wägner, Erhard
1973-06-02;Wägner, Erhard;Heisenberg, Werner (1901-1976)
1973-02-12;Heisenberg, Werner (1901-1976);Wägner, Erhard
1964-06-22;Waeselmann, Therese;Heisenberg, Werner (1901-1976)
1964-06-16;Heisenberg, Werner (1901-1976);Waeselmann, Therese
1964-06-11;Waeselmann, Therese;Heisenberg, Werner (1901-1976)
1966-03-25;"Wöhrle, Hildegard (1934-2020); Max-Planck-Institut für Physik. Direktion. Sekretariat";Wagenbreth, Otfried (1927-2017)
1966-03-06;Wagenbreth, Otfried (1927-2017);Heisenberg, Werner (1901-1976)
1970-12-12;Wagn, Klaus;Heisenberg, Werner (1901-1976)
1966-03-17;Heisenberg, Werner (1901-1976);Wagner, August H.
1966-03-10;Wagner, August H.;Heisenberg, Werner (1901-1976)
1971-06-26;Wagner, Carl (1901-1977);Heisenberg, Werner (1901-1976)
1971-04-30;"Wagner, Carl (1901-1977); Max-Planck-Institut für Biophysikalische Chemie (1971-2021)";Heisenberg, Werner (1901-1976)
1972-09-25;Heisenberg, Werner (1901-1976);Wagner, Hanne
1972-09-03;Wagner, Hanne;Heisenberg, Werner (1901-1976)
1961-01-30;Heisenberg, Werner (1901-1976);Studienstiftung des Deutschen Volkes (1925-)
1962-03-23;Mittelstaedt, Peter (1929-2014);Wagner, Klaus Hieronymus
1962-03-21;Wagner, Klaus Hieronymus;Heisenberg, Werner (1901-1976)
1974-04-10;Heisenberg, Werner (1901-1976);Wagner, Kurt
1974-04-08;Wagner, Kurt;Heisenberg, Werner (1901-1976)
1968-06-09;Wagner, Paul;Heisenberg, Werner (1901-1976)
1967-04-28;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Wagner, Rainer
1967-03-31;Wagner, Rainer;Heisenberg, Werner (1901-1976)
1961-12-04;Wagner, Richard;Heisenberg, Werner (1901-1976)
1972-10-06;Wagner, Waltraud;Heisenberg, Werner (1901-1976)
1972-10-06;"Wagner, Waltraud; Gesellschaft für Bedrohte Völker. Arbeitsgruppe für Nordamerikanische Indianer";Heisenberg, Werner (1901-1976)
1969-06-23;Wahl, Friedrich August;Heisenberg, Werner (1901-1976)
1962-06-23;Heisenberg, Werner (1901-1976);Wahl, Friedrich (1932-)
1962-06-19;Wahl, Friedrich (1932-);Heisenberg, Werner (1901-1976)
1959-04-13;USA. Bureau of Standards;Heisenberg, Werner (1901-1976)
1963-03-12;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Waldal, Per
1957-02-26;Lawrence Radiation Laboratory (1936-1958);Heisenberg, Werner (1901-1976)
1967-02-07;"Waldmann, Ludwig (1913-1980); Physikalisches Institut der Universität Erlangen-Nürnberg. Institut für Theoretische Physik";Heisenberg, Werner (1901-1976)
1969;Mahler, Klaus;Heisenberg, Werner (1901-1976)
1960-06-21;Waldron, R. A.;Heisenberg, Werner (1901-1976)
1959-05-06;Heisenberg, Werner (1901-1976);Waldron, R. A.
1959-04-05;Waldron, R. A.;Heisenberg, Werner (1901-1976)
1958-02-11;"Walecka, John Dirk; Massachusetts Institute of Technology. Department of Physics";Heisenberg, Werner (1901-1976)
1954-07-15;"Walen, R. J.; Institut za nuklearne nauke ""Boris Kidrič"" (1953-1991)";Heisenberg, Werner (1901-1976)
1974-09-04;Heisenberg, Werner (1901-1976);Walker, Mark E. [vermutlich]
1974-08-20;Walker, Mark E. [vermutlich];Heisenberg, Werner (1901-1976)
1967-08-13;Wall, Bernd (1945-);Heisenberg, Werner (1901-1976)
1966-09-24;Wall, Bernd (1945-);Max-Planck-Institut für Physik und Astrophysik (1958-1991)
1959-08-28;Wallis, H. A.;Heisenberg, Werner (1901-1976)
1957-03-18;"Waloschek, Pedro (-2012); Istituto di Fisica (Bologna)";Heisenberg, Werner (1901-1976)
1957-02-02;Heisenberg, Werner (1901-1976);"Waloschek, Pedro (-2012); Istituto di Fisica (Bologna)"
1974-05-08;Heisenberg, Werner (1901-1976);Walter, Hans-Albert (1935-2016)
1974-05-02;Walter, Hans-Albert (1935-2016);Heisenberg, Werner (1901-1976)
o.D.;Walter, Hans-Dieter;Heisenberg, Werner (1901-1976)
1965-10-25;"Wöhrle, Hildegard (1934-2020); Max-Planck-Institut für Physik. Direktion. Sekretariat";Walter-Verlag (Olten) (1916-2010)
1969-08-05;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";"Vaubel, Ludwig; Walter-Raymond-Stiftung der BDA (1959-)"
1969-07-22;"Vaubel, Ludwig; Walter-Raymond-Stiftung der BDA (1959-)";Heisenberg, Werner (1901-1976)
1960-12-13;Heisenberg, Werner (1901-1976);"Stueckelberg von Breidenbach, Ernst Carl Gerlach; Université de Lausanne (Lausanne). Laboratoire de physique"
1960-12-05;"Stueckelberg von Breidenbach, Ernst Carl Gerlach; Université de Lausanne (Lausanne). Laboratoire de physique";Heisenberg, Werner (1901-1976)
1959-09-30;Wanders, Gérard (1930-);Heisenberg, Werner (1901-1976)
1962-07-30;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Wanek, Erich (1926-2010)
1962-07-13;Wanek, Erich (1926-2010);Heisenberg, Werner (1901-1976)
1970-04-10;Heisenberg, Werner (1901-1976);"Wang, Chia Ping; Case Western Reserve University. Department of Physics"
1970-03-08;"Wang, Chia Ping; Case Western Reserve University. Department of Physics";Heisenberg, Werner (1901-1976)
1970-01-20;Wangler, Wolfgang;Heisenberg, Werner (1901-1976)
1969-11-17;Warburg, Otto (1883-1970);Heisenberg, Werner (1901-1976)
1963-09-16;"Ballreich, Kurt; Max-Planck-Gesellschaft zur Förderung der Wissenschaften. Generalverwaltung";Max-Planck-Gesellschaft zur Förderung der Wissenschaften (1948-)
1957-12-13;Heisenberg, Werner (1901-1976);"Warburg, Otto (1883-1970); Max-Planck-Institut für Zellphysiologie (1953-1973)"
1957-12-10;Warburg, Otto (1883-1970);Heisenberg, Werner (1901-1976)
1955-07-26;Heisenberg, Werner (1901-1976);"Gurlitt, Hildebrand (1895-1956); Kunstverein für die Rheinlande und Westfalen (1829-)"
1968-05-22;Wartburg, Walther von (1888-1971);Heisenberg, Werner (1901-1976) [vermutlich]
1951-01-30;Heisenberg, Werner (1901-1976);"Perucca, Eligio; Politecnico di Torino (1906-)"
1951-01-25;"Perucca, Eligio; Politecnico di Torino (1906-)";Heisenberg, Werner (1901-1976)
1949-07-18;"Wataghin, Gleb (1899-1986); Università degli studi di Torino. Instituto di fisica";Heisenberg, Werner (1901-1976)
1949-06-14;"Wataghin, Gleb (1899-1986); Università degli studi di Torino. Instituto di fisica";Heisenberg, Werner (1901-1976)
1949-03-01;"Wataghin, Gleb (1899-1986); Università degli studi di Torino. Instituto di fisica";Heisenberg, Werner (1901-1976)
1965-01-25;"Waterson, A. P.; St. Thomas' Hospital (London)";Max-Planck-Institut für Physik. Direktion. Sekretariat
1948-04-17;Cambridge University Press (1583-);Heisenberg, Werner (1901-1976)
1961-05-16;Heisenberg, Werner (1901-1976);Wayss-und-Freytag-Aktiengesellschaft (1924-1932)
1961-05-12;Wayss-und-Freytag-Aktiengesellschaft (1924-1932);Heisenberg, Werner (1901-1976)
1950-01-24;Heisenberg, Werner (1901-1976);"Weale, Robert Alexander (1922-2013); University of London. Institute of Ophthalmology"
1950-01-20;"Weale, Robert Alexander (1922-2013); University of London. Institute of Ophthalmology";Heisenberg, Werner (1901-1976)
1949-11-22;"Weaver, Warren (1923-1997); The Rockefeller Foundation";Heisenberg, Werner (1901-1976)
1961-08-22;"Webb, Wilmot H.; Princeton University. Department of Aeronautical Engineering (-1978)";Heisenberg, Werner (1901-1976)
1970-12-05;Weber, Anton;Heisenberg, Werner (1901-1976)
1970-12-10;Heisenberg, Werner (1901-1976);Weber, Anton
1968-06-14;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";Europäische Kommission. Verbindungsbüro (1967-1976)
1954-01-11;Heisenberg, Werner (1901-1976);Weber, Alfred (1868-1958)
1954-01-06;Weber, Alfred (1868-1958);Heisenberg, Werner (1901-1976)
1969-01-24;Gottstein, Klaus (1924-2020);Weber, Erwin
1964-11-05;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";"Weber, Günter Gerhard [vermutlich]; Theoretical Chemistry Institute"
1969-06-03;"Weber, Hans Hermann (1896-1974); Max-Planck-Institut für Medizinische Forschung. Institut für Physiologie; Max-Planck-Gesellschaft zur Förderung der Wissenschaften. Biologisch-Medizinische Sektion";Heisenberg, Werner (1901-1976)
1969-05-22;Heisenberg, Werner (1901-1976);"Weber, Hans Hermann (1896-1974); Max-Planck-Gesellschaft zur Förderung der Wissenschaften. Biologisch-Medizinische Sektion"
1969-05-16;"Weber, Hans Hermann (1896-1974); Max-Planck-Institut für Medizinische Forschung. Institut für Physiologie; Max-Planck-Gesellschaft zur Förderung der Wissenschaften. Biologisch-Medizinische Sektion";Heisenberg, Werner (1901-1976)
1958-07-10;Heisenberg, Werner (1901-1976);Spedition Hermann Weber (1892-)
1974-08-05;Heisenberg, Werner (1901-1976);Weber, Horst
1974-07-31;Weber, Horst;Heisenberg, Werner (1901-1976)
1972-05-14;Webster, Jack M.;Heisenberg, Werner (1901-1976)
1972-05-11;Webster, Jack M.;Heisenberg, Werner (1901-1976)
1968;Wechs, Thomas (1893-1970);Heisenberg, Werner (1901-1976) [vermutlich]
1964-07-27;Heisenberg, Werner (1901-1976);"Wechs, Thomas (1893-1970); Wechs, Thomas"
1964-07-20;Wechs, Thomas (1893-1970);Heisenberg, Werner (1901-1976)
1967-06-02;"Huber, Wiltrud; Max-Planck-Institut für Physik. Direktion. Sekretariat";Weckering, Rudolph [vermutlich]
1967-05-15;Weckering, Rudolph;Heisenberg, Werner (1901-1976)
1962;Wedel, Emil, Graf von;Heisenberg, Werner (1901-1976) [vermutlich]
1962-04-30;Heisenberg, Werner (1901-1976);Wedel, Emil, Graf von
1962-04-24;Wedel, Emil, Graf von;Heisenberg, Werner (1901-1976)
1963-02-22;Heisenberg, Werner (1901-1976);Wegener, Mogens
1963-02-17;Wegener, Mogens;Heisenberg, Werner (1901-1976)
1951-09-24;"Wegener, Peter P. (1917-2008); US Naval Ordnance Laboratory (White Oak, Md.)";Heisenberg, Werner (1901-1976)
1951-07-24;"McMillen, Howard [vermutlich]; US Naval Ordnance Laboratory (White Oak, Md.)";Heisenberg, Werner (1901-1976)
1951-07-24;"Seeger, Raymond J.; US Naval Ordnance Laboratory (White Oak, Md.)";Heisenberg, Werner (1901-1976)
